#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_x [],q_RS_y [],q_RS_z [],q_RS_w []
1.40371527170518E+018,0.786802375071193,2.17662630844022,1.06203836026175,-0.00929072736839854,0.0226686078794673,0.113663501338772,0.993217209408488
1.40371527171523E+018,0.78665536342394,2.17695862256426,1.06202889385381,-0.00917597447976275,0.0221674473383006,0.114189996208934,0.993169195322053
1.40371527172527E+018,0.786642370550542,2.17670099077357,1.06193696814683,-0.00900265006003492,0.0223077934016521,0.113403486061479,0.99325775305031
1.40371527173532E+018,0.78660580702883,2.17691527587553,1.06201617828638,-0.00909229081908067,0.0219137624085138,0.114200425953557,0.993174395550344
1.40371527174525E+018,0.786641997722452,2.17668542539756,1.06192777294676,-0.00893678520901391,0.0221945781676101,0.113421106368279,0.993258872198122
1.40371527175524E+018,0.786680354066467,2.17678395194156,1.06199135579529,-0.00920404856153788,0.0222955015732366,0.113467382381912,0.993248885846378
1.40371527176536E+018,0.786655912188403,2.17673271720623,1.06196818942979,-0.00892048235174807,0.0223058666865272,0.113394773723225,0.993259532347027
1.40371527177521E+018,0.786638369020807,2.1767154528086,1.06192505719538,-0.00906029583078506,0.0223308055852001,0.113488176763718,0.993247038704985
1.40371527178519E+018,0.78669642359093,2.17679436120059,1.06198967032412,-0.00914344315972656,0.0223800465509863,0.113473774860262,0.993246813930215
1.40371527179522E+018,0.786653312931838,2.17692149202166,1.0620230478058,-0.00891919161762317,0.0220209277907171,0.114109934364562,0.993183995863526
1.40371527180547E+018,0.786674814905203,2.17702935558565,1.0621687995909,-0.00963323442157253,0.0222461721112386,0.114132739235096,0.99316968663752
1.40371527181827E+018,0.786706288509857,2.17678693550419,1.06199289033716,-0.00939154162844747,0.0223425486261826,0.113339637345664,0.993260658675798
1.40371527182536E+018,0.786729351412003,2.17674041698133,1.06197997175334,-0.00902405411552213,0.0224279471747856,0.113258578259632,0.993271386924768
1.40371527183521E+018,0.786652050684985,2.17682904038821,1.06203298900031,-0.00909315023393809,0.0221213109192009,0.114301858163106,0.99315811804692
1.40371527184519E+018,0.786676157247086,2.17669857099939,1.0619866961012,-0.00905471359266705,0.0223834947647435,0.113271340295711,0.993270655356074
1.40371527185524E+018,0.786656418934915,2.17696235423608,1.06203076236823,-0.00918973355933396,0.0221658045039204,0.114200619021122,0.993167883352555
1.40371527186557E+018,0.786726240447946,2.17672190519841,1.0619316647846,-0.00914467079430512,0.0223924414113518,0.113459767715625,0.993248123418121
1.40371527187529E+018,0.786603209041374,2.1769961433946,1.06209124393266,-0.00946083301290852,0.0219813372815384,0.113974576508254,0.993195403412532
1.40371527188523E+018,0.786660058883262,2.17671253262915,1.06194164209788,-0.00917057942304557,0.0224115321657082,0.113453317866522,0.993248190717763
1.40371527189541E+018,0.786640654091139,2.17684966037134,1.06199010673939,-0.00877376558791224,0.0219623794113629,0.114146765599946,0.993182355275742
1.40371527190529E+018,0.786596382049279,2.17694064186128,1.06207282100915,-0.00939081433440366,0.0220281180940534,0.11393245696476,0.99319986400993
1.4037152719152E+018,0.786696958753985,2.1767256183377,1.06192832744969,-0.00890544255467825,0.022359353024973,0.113504989269321,0.993245875821381
